correlation_id,variant,run,prompt_tokens,completion_tokens,latency_ms,valid_json,completion_tokens_variance,output_preview,notes
bc2f79c3-71da-41e5-a434-cb7732f57864,short,1,28,88,6069,True,73,"{""error"":""missing_information"",""message"":""I can’t determine whether TXN-001 is compliant without the compliance criteria",calibration ceiling=1024; p95=95; derived_ceiling=114
00369a79-1686-459a-81fc-3ea8523a4e35,short,2,28,95,2597,True,73,"{""error"":""missing_information"",""message"":""I can’t determine whether TXN-001 is compliant without the compliance criteria",calibration ceiling=1024; p95=95; derived_ceiling=114
067b5606-cd2b-4a2e-a7ef-dad465ace792,short,3,28,78,2307,True,73,"{""error"":""insufficient_information"",""message"":""I can’t determine whether TXN-001 is compliant without the compliance cri",calibration ceiling=1024; p95=95; derived_ceiling=114
bdbe94b7-c80b-4df9-8269-f5459167c886,bloated,1,182,114,3257,False,0,,
2c0def55-b08e-4c6c-8189-019966e9f62d,bloated,2,182,114,2784,False,0,,
29e23846-1ab1-4bb0-bc2a-ea0036c3d27e,bloated,3,182,114,2645,False,0,,
faf31528-a24c-4188-a233-c7640b1f612e,conflicting,1,34,82,2123,True,16.33,"{   ""error"": ""missing_information"",   ""message"": ""I can’t determine whether TXN-001 is compliant because no compliance c",conflict: system=JSON-only vs user=plain-English; outcome=followed_system(JSON); instruction conflict resolution is not guaranteed
676394b0-2909-4c15-8fe7-c139a65c0c3a,conflicting,2,34,79,2443,True,16.33,"{   ""error"": ""missing_information"",   ""message"": ""I can’t determine whether TXN-001 is compliant because no compliance c",conflict: system=JSON-only vs user=plain-English; outcome=followed_system(JSON); instruction conflict resolution is not guaranteed
124d71f8-3d2c-47c1-8b62-05414317f994,conflicting,3,34,74,2816,True,16.33,"{   ""error"": ""missing_information"",   ""message"": ""I can’t determine whether TXN-001 is compliant because no compliance c",conflict: system=JSON-only vs user=plain-English; outcome=followed_system(JSON); instruction conflict resolution is not guaranteed
b137d9fe-5201-47ad-8993-d91e4b6858e8,context_overflow,1,7084,103,7088,True,14,"{   ""transaction_id"": ""TXN-OVERFLOW-001"",   ""status"": ""requires_review"",   ""reason"": ""The provided request does not incl",pydantic_valid=True; OUTPUT FORMAT at top of system message (V1.1.0 order); 8k-token user filler
cfa466ea-39c9-4f73-aad5-dc421be631b2,context_overflow,2,7084,105,3330,True,14,"{   ""transaction_id"": ""TXN-OVERFLOW-001"",   ""status"": ""requires_review"",   ""reason"": ""The request does not provide the f",pydantic_valid=True; OUTPUT FORMAT at top of system message (V1.1.0 order); 8k-token user filler
ab4cd384-0abf-44d4-8381-00c58ccff54a,context_overflow,3,7084,105,2724,True,14,"{   ""transaction_id"": ""TXN-OVERFLOW-001"",   ""status"": ""requires_review"",   ""reason"": ""The request does not provide the f",pydantic_valid=True; OUTPUT FORMAT at top of system message (V1.1.0 order); 8k-token user filler
07a99d52-330e-417c-a5a5-dfb9766c3103,context_overflow,4,7084,111,2895,True,14,"{   ""transaction_id"": ""TXN-OVERFLOW-001"",   ""status"": ""requires_review"",   ""reason"": ""The provided request does not incl",pydantic_valid=True; OUTPUT FORMAT at top of system message (V1.1.0 order); 8k-token user filler
eb652ca5-6201-4e07-b717-f491c0b15e52,context_overflow,5,7084,111,3910,True,14,"{   ""transaction_id"": ""TXN-OVERFLOW-001"",   ""status"": ""requires_review"",   ""reason"": ""The provided information does not ",pydantic_valid=True; OUTPUT FORMAT at top of system message (V1.1.0 order); 8k-token user filler
222e916d-b9a7-4ba4-a234-e5e12b79115e,context_overflow_recency,1,7084,99,3752,True,9,"{   ""transaction_id"": ""TXN-OVERFLOW-001"",   ""status"": ""requires_review"",   ""reason"": ""The request text indicates that fu",pydantic_valid=True; OUTPUT FORMAT at bottom of system message (recency-bias fix); 8k-token user filler
7178d4c8-ae5a-4240-a329-c511c11b76e4,context_overflow_recency,2,7084,103,3669,True,9,"{   ""transaction_id"": ""TXN-OVERFLOW-001"",   ""status"": ""requires_review"",   ""reason"": ""The provided request does not incl",pydantic_valid=True; OUTPUT FORMAT at bottom of system message (recency-bias fix); 8k-token user filler
53d3029f-9167-4143-b887-cddbe4e13976,context_overflow_recency,3,7084,99,3791,True,9,"{   ""transaction_id"": ""TXN-OVERFLOW-001"",   ""status"": ""requires_review"",   ""reason"": ""The request states that full docum",pydantic_valid=True; OUTPUT FORMAT at bottom of system message (recency-bias fix); 8k-token user filler
3a121097-4a92-4f16-81a7-deb049f4b90d,context_overflow_recency,4,7084,106,4068,True,9,"{   ""transaction_id"": ""TXN-OVERFLOW-001"",   ""status"": ""requires_review"",   ""reason"": ""The request states that the compli",pydantic_valid=True; OUTPUT FORMAT at bottom of system message (recency-bias fix); 8k-token user filler
1419f571-6f2f-4de2-ab31-a6260224eb3d,context_overflow_recency,5,7084,103,4479,True,9,"{   ""transaction_id"": ""TXN-OVERFLOW-001"",   ""status"": ""requires_review"",   ""reason"": ""The provided context does not incl",pydantic_valid=True; OUTPUT FORMAT at bottom of system message (recency-bias fix); 8k-token user filler
